FlowlinePressure,DischargePressure,MotorFrequency,CurrentPhaseA,IntakePressure,IntakeTemperature,MotorTemperature,UpstreamPressure,FlowlineTemperature,WellHeadTemperature,wtOil,wtWater,wtGas,Fw,GasLiquidRatio
307.09998,4631.545,57,58.60369,2913.7,103.76177,115.913345,477.02316,0,0,1338.2169,3193.5032,0.75983953,0.7047,0.00016767133
309.9525,4638.055,57,58.558174,2915.3462,103.75915,115.89184,483.45288,0,0,1311.2565,3129.165,0.7445314,0.7047,0.00016767134
314.95514,4644.2515,57,58.48123,2916.3435,103.760155,115.871315,489.83823,0,0,1345.9103,3211.8625,0.76420784,0.7047,0.00016767133
314.3823,4647.261,57,58.454906,2916.488,103.76449,115.87073,493.4593,0,0,1364.3096,3255.7703,0.7746549,0.7047,0.00016767131
313.8497,4650.7524,57,58.398693,2916.7747,103.76408,115.84134,497.3041,0,0,1340.2925,3198.4563,0.76101804,0.7047,0.00016767131
308.16684,4653.4985,57,58.400494,2918.3384,103.76396,115.837166,498.85336,0,0,1353.1528,3229.1462,0.7683202,0.70470005,0.00016767134
308.41104,4658.041,57,58.36682,2919.6152,103.76274,115.82973,502.83008,0,0,1372.0936,3274.3462,0.7790747,0.7047,0.00016767133
303.43045,4661.2954,57,58.412262,2921.5596,103.76365,115.8506,505.04355,0,0,1363.5443,3253.944,0.77422047,0.7047,0.00016767134
300.35425,4665.402,57,58.414402,2922.941,103.77013,115.83302,508.3389,0,0,1314.3281,3136.4954,0.74627554,0.70470005,0.00016767134
311.9489,4676.369,57,58.328835,2927.2583,103.76473,115.811066,517.0525,0,0,1302.4738,3108.2063,0.7395446,0.7047,0.00016767131
262.1211,4666.1597,57,58.40269,2927.5928,103.7674,115.84906,506.58612,0,0,1282.1417,3059.686,0.72800004,0.7047,0.00016767134
214.49182,4655.897,57,58.511276,2924.9263,103.77106,115.87883,497.5664,0,0,1356.5991,3237.3704,0.770277,0.7047,0.00016767133
212.12523,4661.6685,57,58.431526,2926.4836,103.762535,115.84944,502.73447,0,0,1311.5009,3129.7485,0.7446702,0.7047,0.00016767133
210.88806,4656.262,57,58.41882,2926.2615,103.76606,115.82744,499.7819,0,0,1348.8552,3218.8904,0.76588,0.7047,0.00016767133
215.89864,4545.7905,57,58.944523,2906.292,103.76917,115.917656,407.535,0,0,1485.4176,3544.781,0.8434201,0.7047,0.00016767133
211.70885,4465.612,52.06852,58.430695,2926.0222,104.065094,115.59007,389.16556,0,0,1473.0221,3515.2007,0.8363819,0.70470005,0.00016767133
215.64171,4550.2075,54.032257,60.131264,2910.9272,103.83206,115.71035,373.32098,0,0,1439.9397,3436.2534,0.81759775,0.7047,0.00016767131
218.55045,4561.561,57,59.003296,2900.8003,103.76332,115.79696,409.78366,0,0,1405.8982,3355.0168,0.798269,0.7047,0.00016767133
219.21799,4561.525,57,58.935314,2900.7354,103.76661,115.7815,416.9054,0,0,1445.4274,3449.3489,0.82071364,0.7047,0.00016767133
217.8073,4564.1045,57,58.88798,2900.3345,103.76887,115.77293,421.6968,0,0,1425.9923,3402.9692,0.80967844,0.70470005,0.00016767134
216.77621,4568.357,57,58.834457,2900.4287,103.76767,115.75068,427.06442,0,0,1427.7383,3407.136,0.8106698,0.70470005,0.00016767133
217.83589,4573.7744,57,58.79249,2900.612,103.76473,115.737724,433.16125,0,0,1415.6885,3378.3804,0.8038279,0.7047,0.00016767133
206.72336,4168.3667,35.941345,70.83921,3017.9705,104.26776,113.55541,329.78186,0,0,1493.9242,3565.081,0.84825015,0.7047,0.00016767133
220.01964,4594.3076,57,58.977287,2901.3662,103.789345,115.8717,420.6913,0,0,1440.6246,3437.8877,0.8179866,0.70470005,0.00016767133
