date,count
2015-11-28,76104
2015-11-29,82188
2015-11-30,124797
2015-12-01,131118
2015-12-02,128501
2015-12-03,130985
2015-12-04,122138
2015-12-05,85815
2015-12-06,85101
2015-12-07,125667
2015-12-08,129365
2015-12-09,130460
2015-12-10,131886
2015-12-11,120631
2015-12-12,80165
2015-12-13,83093
2015-12-14,125045
2015-12-15,129153
2015-12-16,126803
2015-12-17,119663
2015-12-18,109481
2015-12-19,69896
2015-12-20,72991
2015-12-21,110845
2015-12-22,108859
2015-12-23,100986
2015-12-24,77689
2015-12-25,54769
2015-12-26,60660
2015-12-27,65492
2015-12-28,87076
2015-12-29,95144
2015-12-30,92262
2015-12-31,76176
2016-01-01,57073
2016-01-02,72196
2016-01-03,75507
2016-01-04,110358
2016-01-05,119143
2016-01-06,116210
2016-01-07,118482
2016-01-08,169433
2016-01-09,105169
2016-01-10,81868
2016-01-11,126173
2016-01-12,125050
2016-01-13,127652
2016-01-14,130604
2016-01-15,121004
2016-01-16,81459
2016-01-17,82792
2016-01-18,119025
2016-01-19,130665
2016-01-20,127584
2016-01-21,126796
2016-01-22,119235
2016-01-23,86963
2016-01-24,92570
2016-01-25,129762
2016-01-26,131513
2016-01-27,135423
2016-01-28,130615
2016-01-29,127520
2016-01-30,91721
2016-01-31,94698
2016-02-01,126820
2016-02-02,133236
2016-02-03,134373
2016-02-04,131022
2016-02-05,125506
2016-02-06,87031
2016-02-07,94244
2016-02-08,121222
2016-02-09,128102
2016-02-10,130251
2016-02-11,130580
2016-02-12,123311
2016-02-13,87354
2016-02-14,88822
2016-02-15,125141
2016-02-16,136513
2016-02-17,139454
2016-02-18,138425
2016-02-19,131778
2016-02-20,92780
2016-02-21,102211
2016-02-22,136852
2016-02-23,138679
2016-02-24,135659
2016-02-25,134976
2016-02-26,126860
2016-02-27,83409
2016-02-28,92666
2016-02-29,151494
2016-03-01,133927
2016-03-02,135152
2016-03-03,134100
2016-03-04,128515
2016-03-05,86561
2016-03-06,90284
2016-03-07,128069
2016-03-08,132683
2016-03-09,135213
2016-03-10,135025
2016-03-11,129880
2016-03-12,81909
2016-03-13,84710
2016-03-14,127054
