Date_Year,Date_Month,Date_Day,Qo,Qg,Qw,Pwh,Twh,Pwf
2019,10,5,465.2128,4111,3313.21,192,90,1524
2019,10,6,483.9657,4110,3454.12,190,90,1518
2019,10,7,492.9045,4103,2648.89,190,90,1511
2019,10,8,534.485,4084,3876.06,194,90,1507
2019,10,9,487.4801,4087,3606.69,184,90,1501
2019,10,10,400.9616,4075,2858.95,191,90,1493
2019,10,11,384.8592,4013,2901.74,183,90,1492
2019,10,12,414.578,4023,3105.7,189,90,1489
2019,10,13,454.1207,3962,3323.2,180,90,1485
2019,10,14,334.7732,4014,2556.56,180,90,1485
2019,10,15,474.0533,3929,3446.88,190,90,1498
2019,10,16,373.6867,3937,2835.57,188,90,1474
2019,10,20,425.1191,3919,3163.91,185,90,1462
2019,10,23,321.191,3859,2549.9,190,90,1462
2019,10,31,374.8223,863,2524.78,216,90,1462
2019,11,3,480.9172,3985,2900.46,198,90,1459
2019,11,4,368.5692,3991,2508.76,193,90,1456
2019,11,5,507.9732,3731,3179.62,185,90,1456
2019,11,9,351.8344,3685,2719.47,180,90,1442
2019,11,10,398.4325,3642,2867.67,173,90,1441
2019,11,13,335.8621,3695,2551.36,176,90,1430
2019,11,17,314.5285,3965,2580.59,215,90,1435
2019,11,18,386.5258,4082,2535.32,183,90,1412
2019,11,26,334.2849,3548,2624.32,176,90,1398
2019,11,27,309.6413,3540,2303.2,177,90,1396
2019,11,28,379.8367,3452,3023.83,184,90,1402
2019,11,29,317.6769,3609,2387.36,165,90,1386
2019,11,30,346.6474,3632,2704.94,165,90,1380
2019,12,1,337.5646,3537,2634.02,157,90,1384
2019,12,2,278.4467,3622,2100.1,165,90,1375
2019,12,4,252.9364,67,1972.95,188,90,1604
2019,12,5,357.4569,5179,2719.75,157,90,1449
2019,12,6,384.9387,3562,2735.41,143,90,1409
2019,12,7,280.0229,3433,2588.06,154,90,1402
2019,12,8,331.8649,3413,2581.81,146,90,1395
2019,12,9,347.238,3454,2666.57,145,90,1386
2019,12,10,369.6831,3469,2921.84,157,90,1380
2019,12,11,346.1533,3473,2710.44,140,90,1375
2019,12,14,498.7748,3494,2619.48,149,90,1365
2019,12,15,337.9312,3500,2752.98,152,90,1360
2019,12,16,215.7993,3534,2196.37,142,90,1354
2019,12,18,42.9077,3417,2925.03,157,90,1362
2019,12,19,346.3085,3402,2552.53,152,90,1360
2019,12,20,281.3066,3420,2258.32,162,90,1360
2019,12,21,304.0283,3339,2353.61,153,90,1371
2019,12,23,222.0273,3347,1747.86,150,90,1362
2019,12,25,342.7761,3332,2683.7,156,90,1355
2019,12,29,589.9041,3287,2387.51,158,90,1351
2019,12,30,371.5186,3238,1938.41,154,90,1355
2019,12,31,563.7503,3283,2631.83,149,90,1351
2020,1,1,304.4268,3267,2404.29,144,90,1353
2020,1,9,194.4712,32,1611.78,182,90,1588
2020,1,13,308.2048,3490,2249.84,144,90,1588
2020,1,24,331.1548,3232,2189.83,156,90,1313
2020,1,31,273.9293,2077,2217.06,176,90,1595
2020,2,1,179.5011,4168,1388.43,83,90,1536
2020,2,3,126.7435,3,973.82,244,90,1556
2020,2,6,275.345,3315,2140.09,160,90,1558
2020,2,7,307.4058,3353,2337.07,161,90,1314
2020,2,9,297.1434,3325,2331.83,162,90,1306
2020,2,16,291.8399,4038,2265.93,152,90,1303
2020,2,17,273.9229,3668,2251.99,150,90,1408
2020,2,18,191.2059,3682,802.82,870,90,1288
2020,2,26,273.6041,2934,2089.49,145,90,1285
2020,3,6,228.6821,2925,1837.69,144,90,1289
2020,3,9,227.0733,2960,1736.79,142,90,1289
2020,3,25,287.7994,2937,2223.44,157,90,1289
2020,3,30,5.037,4,12.54,104,90,1289
2020,4,6,288.4546,2899,2022.56,132,90,1289
2020,4,8,282.2129,2907,2024.22,139,90,1289
2020,4,14,194.0386,2816,1610.43,132,90,1289
2020,4,20,237.1714,2720,1686.57,131,90,1289
2020,4,21,220.5918,2783,1526,131,90,1289
2020,4,23,243.124,2785,1684.34,129,90,1240
2020,4,24,237.0756,2750,1612.79,139,90,1240
2020,4,28,76.6354,2576,543.4,86,90,1247
2020,5,4,163.3563,154,714.17,484,90,1478
2020,5,5,365.0546,5245,1896.57,194,90,1436
2020,5,6,340.2423,4089,2144.72,194,90,1314
2020,5,7,301.8576,3057,2610.23,193,90,1301
2020,5,8,259.0451,2839,1611.84,192,90,1295
2020,5,9,234.5022,2679,1620.07,140,90,1299
2020,5,10,246.9033,2656,1714.35,140,90,1292
2020,5,11,237.7368,2586,1682.56,140,90,1292
2020,5,12,217.0083,2615,1580.03,143,90,1288
2020,5,13,198.5247,2631,1564.6,143,90,1279
2020,5,14,206.4502,2580,1711.2,143,90,1278
2020,5,15,198.0669,2599,1396.92,181,90,1275
2020,5,16,218.4743,2618,1579.06,123,90,1268
2020,5,17,203.5856,2596,1628.4,124,90,1266
2020,5,18,53.1201,2059,239.79,90,90,1278
2020,5,24,251.7559,2619,1698.3,135,90,1262
2020,5,25,212.756,2626,1586.84,134,90,1256
2020,5,26,271.9489,2631,1882.17,132,90,1252
2020,5,27,224.3634,2539,1525.28,131,90,1262
2020,5,28,224.7868,2635,1449.92,133,90,1250
