Date,Qo,Qg,Qw ,Pwh,Twh,Pwf
43618,520.3244,3894,2908.43,177,90,1946
43619,488.2112,3863,2949.3,179,90,1942
43620,557.3422,3839,3259.06,177,90,1939
43621,521.1679,3867,2991.34,176,90,1934
43622,440.4303,3851,2586.09,177,90,1930
43623,487.9218,3835,2873.09,175,90,1927
43624,507.1323,3836,3025.97,173,90,1923
43625,302.6168,3814,1832.31,1162,90,1919
43627,538.4295,2374,2564.76,12,90,2122
43630,669.8889,5304,3349.11,183,90,2038
43631,560.7864,4256,3361.79,182,90,1945
43632,556.906,4033,3297.89,172,90,1921
43633,461.1664,3985,2549.31,177,90,1908
43634,597.4159,4015,3713.98,176,90,1899
43635,609.8582,4058,3509.99,166,90,1888
43636,477.335,4135,2695.67,180,90,1878
43637,475.1101,4179,2823.33,172,90,1878
43638,501.434,4195,2948.69,170,90,1861
43639,523.8926,4207,3083.19,171,90,1855
43640,489.726,4194,2948.18,182,90,1849
43641,493.0901,4089,3577.06,185,90,1848
43642,524.9797,4091,3361.79,186,90,1843
43643,506.6164,1434,3079.86,177,90,1838
43644,521.6426,4069,3161.98,174,90,1834
43645,476.1527,4076,2827.53,186,90,1829
43646,508.8123,4133,3007.01,171,90,1823
43647,483.7682,4131,2772.21,188,90,1819
43648,501.8149,4110,2851.33,179,90,1816
43649,484.9645,4116,2868.14,198,90,1811
43650,526.2239,4095,2938.06,183,90,1806
43651,479.2385,4083,2897.4,181,90,1803
43652,504.9516,4063,2957.02,171,90,1799
43653,441.6566,4055,2663.46,178,90,1795
43654,466.3977,4044,2856.59,173,90,1791
43655,527.8187,4085,3015.5,190,90,1787
43656,485.7883,4039,2792.94,165,90,1786
43657,440.5552,4016,2738.45,174,90,1781
43658,454.3814,3917,2876.24,174,90,1780
43659,461.8226,3910,2890.29,190,90,1776
43660,460.4305,3996,2704,178,90,1772
43661,467.2643,4001,2820.19,173,90,1768
43662,484.3949,3986,2812.48,168,90,1765
43663,478.9106,3996,2983.4,172,90,1770
43664,448.6112,3959,2679.52,170,90,1760
43665,469.0115,3987,2804.69,191,90,1760
43666,468.6733,3991,2687.19,165,90,1752
43667,515.9202,3977,2938.64,170,90,1749
43668,398.7482,3975,2521.56,178,90,1746
43669,450.8462,3893,2668.64,220,90,1745
43670,476.7247,3766,2855.62,165,90,1753
43671,448.9637,3941,2698.46,166,90,1739
43672,447.3827,3922,2621.28,175,90,1736
43673,456.4901,3910,2731.5,172,90,1733
43674,464.1269,3908,2789.25,163,90,1730
43675,407.3128,3890,2440.73,166,90,1726
43676,475.3166,3785,2767.26,176,90,1728
43677,499.9284,3742,3000.11,176,90,1725
43678,386.4894,3653,2224.41,183,90,1734
43679,456.6978,3829,2622.12,168,90,1719
43680,444.3324,3837,2664.67,170,90,1714
43681,441.293,3853,2639.44,178,90,1711
